sym,sd,sc,dec,r15,r60,reod,brk
TARK,B,38,X,0,203,220,TP
TDG,B,41,X,9,-13,6,TO
TDG,S,44,X,34,75,82,TP
TDG,S,50,X,20,35,129,TO
TFC,S,61,P,14,-31,-24,SL
TXG,S,57,X,29,70,287,TP
TXN,S,52,X,84,84,84,TP
TXN,S,47,X,10,-41,55,SL
TXN,B,56,X,36,135,135,SL
UBER,S,55,X,19,49,44,TO
UBER,S,53,X,31,74,73,TP
UHS,S,54,X,21,44,44,TO
UPST,B,46,X,-33,137,21,TP
UPST,S,42,X,-33,156,-254,SL
USO,S,51,X,-7,33,91,SL
USO,S,61,X,52,194,233,TP
USO,S,64,X,-18,-13,12,SL
USO,S,64,X,-77,-60,-96,SL
USO,S,56,X,-10,-10,36,TO
VLO,S,65,P,-77,-159,-187,SL
VLO,S,57,X,-86,-134,-54,SL
VLO,S,51,X,19,26,-30,TO
VLO,S,61,X,12,45,-72,TP
VLO,S,53,X,-19,-53,-108,SL
VRSN,S,46,X,34,58,172,TP
VRSN,S,64,X,-28,88,59,SL
VRSN,S,57,X,-88,-47,51,SL
WDAY,S,50,X,10,-11,-82,SL
WDAY,S,55,X,-174,-174,-174,SL
WDAY,S,57,X,-56,-91,-249,SL
WDAY,S,72,P,-4,-29,-27,SL
WDAY,S,61,X,42,-85,-102,SL
XOM,S,52,X,-24,15,109,SL
XOM,S,58,X,-58,-13,-13,SL
XOM,S,71,P,9,29,-33,TO
