time,raw_bull_score,raw_bear_score,final_score,adx,rel_vol,vix_pine,htf_ema_1_pine,htf_ema_2_pine,htf_ema_3_pine,htf_ema_4_pine,market_close_pine,market_ema_pine,leader_close_pine,leader_ema_pine,volume_score_pine,bull_count_pine,bear_count_pine
2026-05-14 14:40:00+00:00,65.5,38.5,49.41666666666666,28.683133896657463,1.8237070794892187,17.87,299.0008802663145,297.8437510449216,285.32143705954775,270.4329897602381,746.97,745.1478165881674,719.7,717.4853831514848,8,3,1
2026-05-14 14:45:00+00:00,88.75,16.25,53.75,26.82125905084732,1.4279199411864147,17.87,299.0008802663145,297.8437510449216,285.32143705954775,270.4329897602381,747.24,745.3380150801522,720.2,717.7321665013499,6,3,1
2026-05-14 14:50:00+00:00,82.75,16.25,53.75,25.092375265452176,1.3022203187085624,17.87,299.0008802663145,297.8437510449216,285.32143705954775,270.4329897602381,747.32,745.5181955274111,720.02,717.9401513648635,6,3,1
2026-05-14 14:55:00+00:00,74.75,8.25,43.75,23.5570089134087,1.082689434832483,17.87,298.9605729693768,297.8572736772014,285.32143705954775,270.4329897602381,747.18,745.6692686612828,719.43,718.0755921498759,0,3,1
2026-05-14 15:00:00+00:00,64.5,34.5,47.75,22.99296307207943,1.633077368252844,17.87,298.9605729693768,297.8572736772014,285.32143705954775,270.4329897602381,747.59,745.8438806011661,719.66,718.2196292271599,8,3,1
2026-05-14 15:05:00+00:00,74.75,21.25,49.75,21.60234479366776,1.293652887340425,17.87,298.9605729693768,297.8572736772014,285.32143705954775,270.4329897602381,747.78,746.0198914556056,720.52,718.4287538428727,6,3,1
2026-05-14 15:10:00+00:00,78.0,2.0,53.0,20.134697612377607,0.8788922993764599,17.87,298.9334754267062,297.8572736772014,285.32143705954775,270.4329897602381,748.02,746.201719505096,720.86,718.6497762207933,0,4,0
2026-05-14 15:15:00+00:00,83.0,0.0,45.0,19.2164904913508,1.0113281660996738,17.87,298.9334754267062,297.8572736772014,285.32143705954775,270.4329897602381,748.44,746.4051995500872,721.31,718.8916147461757,0,4,0
2026-05-14 15:20:00+00:00,83.0,2.0,45.0,18.36386959325447,0.79889802969536,17.87,298.9334754267062,297.8572736772014,285.32143705954775,270.4329897602381,748.49,746.5947268637157,721.38,719.1178315874324,0,4,0
2026-05-14 15:25:00+00:00,75.0,0.0,41.0,17.97584109523037,0.610586882676506,17.87,298.9522503879147,297.8572736772014,285.32143705954775,270.4329897602381,748.51,746.7688426033778,721.39,719.3243923522112,0,4,0
2026-05-14 15:30:00+00:00,75.0,2.0,41.0,17.49275268428994,0.6008141088631204,17.87,298.9522503879147,297.8572736772014,285.32143705954775,270.4329897602381,748.65,746.9398569121616,721.12,719.4876294111011,0,4,0
2026-05-14 15:35:00+00:00,79.0,1.0,41.0,16.40208764978368,0.6347128240923244,17.87,298.9522503879147,297.8572736772014,285.32143705954775,270.4329897602381,748.465,747.0785062837833,721.08,719.6323903737283,0,4,0
2026-05-14 15:40:00+00:00,79.0,1.0,41.0,15.960756950795114,0.6644652781421548,17.87,298.9643185344679,297.8572736772014,285.32143705954775,270.4329897602381,748.77,747.232278439803,721.3,719.7839912488439,0,4,0
2026-05-14 15:45:00+00:00,75.0,0.0,41.0,15.550949873162873,0.486486373139242,17.87,298.9643185344679,297.8572736772014,285.32143705954775,270.4329897602381,748.78,747.3729803998209,721.16,719.9090829534945,0,4,0
2026-05-14 15:50:00+00:00,64.75,12.25,34.75,14.615932192208136,0.6529734658296318,17.87,298.9643185344679,297.8572736772014,285.32143705954775,270.4329897602381,748.68,747.4918003634735,721.379,720.0427117759041,0,3,1
2026-05-14 15:55:00+00:00,60.75,8.25,34.75,13.709785532904553,0.5151667540759935,17.87,298.9761986676981,297.9402487974558,285.8689297238792,270.4329897602381,749.27,747.653454875885,721.4,720.1661016144583,0,3,1
2026-05-14 16:00:00+00:00,70.0,0.0,41.0,12.755308049999684,0.5413099032231333,17.87,298.9761986676981,297.9402487974558,285.8689297238792,270.4329897602381,749.42,747.8140498871682,721.78,720.3128196495076,0,4,0
2026-05-14 16:05:00+00:00,60.75,8.25,34.75,11.869007530159449,0.3824844566987516,17.87,298.9761986676981,297.9402487974558,285.8689297238792,270.4329897602381,749.19,747.939136261062,721.63,720.4325633177341,0,3,1
2026-05-14 16:10:00+00:00,58.5,18.5,31.75,11.855491823251098,0.7009272816007809,17.87,298.9690442433619,297.9402487974558,285.8689297238792,270.4329897602381,748.94,748.0301238736928,721.42,720.5223302888492,0,3,1
2026-05-14 16:15:00+00:00,43.5,25.5,31.75,11.712202980643232,0.5489994824909437,17.87,298.9690442433619,297.9402487974558,285.8689297238792,270.4329897602381,749.01,748.1192035215389,721.31,720.5939366262265,0,3,1
2026-05-14 16:20:00+00:00,47.5,29.5,31.75,11.912664002496715,0.7563377145704703,17.87,298.9690442433619,297.9402487974558,285.8689297238792,270.4329897602381,748.669,748.1691850195808,721.43,720.6699423874786,0,3,1
2026-05-14 16:25:00+00:00,42.5,34.5,28.416666666666664,12.779638639457296,0.8761590749983063,17.87,298.9329947666926,297.9402487974558,285.8689297238792,270.4329897602381,748.0,748.1538045632553,720.7,720.6726748977078,0,3,1
2026-05-14 16:30:00+00:00,34.5,52.5,26.25,13.679510348582452,0.7515162557523859,17.87,298.9329947666926,297.9402487974558,285.8689297238792,270.4329897602381,747.63,748.1061859665957,720.21,720.6306135433707,0,3,1
2026-05-14 16:35:00+00:00,34.5,49.5,22.916666666666664,15.05601262206476,0.9394417581552084,17.87,298.9329947666926,297.9402487974558,285.8689297238792,270.4329897602381,748.11,748.1065326969052,720.62,720.6296486757916,0,3,1
2026-05-14 16:40:00+00:00,30.5,41.5,26.25,16.334193304584048,0.5200408388667593,17.87,298.8695406969933,297.9402487974558,285.8689297238792,270.4329897602381,747.85,748.0832115426412,720.53,720.620589705265,0,3,1
2026-05-14 16:45:00+00:00,42.5,50.5,39.16666666666666,19.904374716828524,3.726633091328509,17.87,298.8695406969933,297.9402487974558,285.8689297238792,270.4329897602381,748.06,748.081101402401,720.79,720.63599064115,10,2,2
2026-05-14 16:50:00+00:00,42.5,53.5,45.16666666666666,23.554675201773563,1.8597695584652916,17.87,298.8695406969933,297.9402487974558,285.8689297238792,270.4329897602381,747.73,748.0491830930919,720.83,720.6536278555909,8,2,2
2026-05-14 16:55:00+00:00,47.5,44.5,37.16666666666666,26.6510670902639,0.7346581685891718,17.87,298.7275369972666,297.9306807249598,285.8689297238792,270.4329897602381,747.829,748.0291664482653,720.74,720.661479868719,0,2,2
2026-05-14 17:00:00+00:00,43.5,44.5,33.833333333333336,29.22590545154618,0.6841552316910983,17.87,298.7275369972666,297.9306807249598,285.8689297238792,270.4329897602381,748.159,748.040969498423,721.129,720.7039816988354,0,2,2
2026-05-14 17:05:00+00:00,34.5,40.5,43.5,31.61682678702258,0.4968216485501662,17.87,298.7275369972666,297.9306807249598,285.8689297238792,270.4329897602381,747.45,747.9872449985663,719.76,720.6181651807594,0,2,2
2026-05-14 17:10:00+00:00,43.5,44.5,43.5,33.38022055002785,0.6449345983352304,17.87,298.63298817933327,297.9306807249598,285.8689297238792,270.4329897602381,747.06,747.9029499986966,719.06,720.4765138006904,0,2,2
2026-05-14 17:15:00+00:00,34.5,42.5,43.5,35.11811260904679,0.529108586044956,17.87,298.63298817933327,297.9306807249598,285.8689297238792,270.4329897602381,746.5,747.7754090897242,718.089,720.2594670915367,0,2,2
2026-05-14 17:20:00+00:00,39.5,42.5,43.5,36.45487939668538,0.4905140776503258,17.87,298.63298817933327,297.9306807249598,285.8689297238792,270.4329897602381,746.7,747.677644627022,718.27,720.0786064468516,0,2,2
2026-05-14 17:25:00+00:00,62.75,26.25,37.75,36.27167567773149,0.7043419017348308,17.87,298.57010289030296,297.9306807249598,285.8689297238792,270.4329897602381,746.9,747.6069496609291,718.79,719.9614604062288,0,3,1
2026-05-14 17:30:00+00:00,76.75,18.25,47.083333333333336,35.43880601433311,0.6235223414348426,17.87,298.57010289030296,297.9306807249598,285.8689297238792,270.4329897602381,747.07,747.5581360553902,718.959,719.8703276420262,0,3,1
