time,ema9,ema21,ema50,sma200,atr,rsi,roc,macd_line,macd_signal,macd_hist,adx,plus_di,minus_di,chop,vwap,bias_score,execution_score,smart_money_score,regime_score,score_penalty,vix_pine,qqq_close_pine,spy_close_pine,qqq_ema21_pine,spy_ema21_pine,bsl_level,ssl_level,bull_ob_high,bull_ob_low,bear_ob_high,bear_ob_low
2025-03-07 14:30:00+00:00,238.1536914775937,238.442689076044,237.7962239312678,226.8778740000002,6.969315323365048,48.79360359745012,-2.2712080543814643,0.1477407987362085,0.9275100691256662,-0.7797692703894578,20.44752644702113,16.427801050136498,20.90552694436649,55.22421537280482,237.9020833333333,25,7,-8,0,18,24.87,491.79,575.92,511.55737243209774,591.7061320555251,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-10 13:30:00+00:00,236.69295318207492,237.75244461458547,237.5238229927867,227.0805053750002,7.425524943124688,39.94926224198653,-5.354434012545624,-0.4716330917048594,0.6476814369595612,-1.1193145286644206,21.33714654076626,14.317187231522698,28.35839643059025,50.11317005826937,230.5823450106226,30,7,16,0,23,23.37,472.73,560.58,508.02761130190703,588.8764836868411,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-11 13:30:00+00:00,233.75110754565995,236.3189246496232,236.91440738522644,227.2315613750002,8.060381555468203,31.773615558085496,-9.27408428565063,-1.6588039962759922,0.1863843503124504,-1.8451883465884429,22.839678588966056,12.247419166635886,30.258118649786976,45.688261328321,224.39908083864464,0,0,-18,-12,18,27.86,471.6,555.92,504.7160102744609,585.8804397153101,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-12 13:30:00+00:00,230.68988603652795,234.69402240874837,236.1901168995313,227.36596375000025,8.410612962789543,29.20466426833451,-11.005866536299198,-2.852311354600687,-0.421354790670177,-2.43095656393051,24.456963991493392,10.899030069548743,29.08396615964373,45.96518938832624,220.40954041932235,0,0,8,-12,12,26.92,476.92,558.87,502.1891002495099,583.4249451957364,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-13 13:30:00+00:00,227.0963788292224,232.69659764431668,235.26981231523595,227.4852192500002,8.86266279608911,25.600004139477136,-13.651231467105069,-4.2113981868538986,-1.1793634699069215,-3.032034716946977,26.46211183553874,9.60431929851663,30.85965297328069,42.722115478578125,214.76722020966116,0,0,-18,-12,18,24.23,468.34,551.42,499.11190931773626,580.5154047233967,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-14 13:30:00+00:00,224.0906030633779,230.821225131197,234.35991771463847,227.5987812500002,8.826817618832154,25.216451124957278,-13.907876241366893,-5.280455412273312,-1.9995818583802,-3.2808735538931124,28.324034833580846,8.95451315895512,28.771759876070508,43.86196146222952,213.19611010483055,0,0,-10,-12,18,24.66,479.66,562.81,497.3435539252148,578.9058224758152,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-17 13:30:00+00:00,221.8974824507023,229.21247739199728,233.5271758434762,227.70990625000024,8.57133064605843,27.115532513073703,-13.884539623213287,-5.973500755125883,-2.7943656377293364,-3.1791351173965468,30.052963331762804,8.562748732488576,27.512981000413895,47.0827654384162,212.77166666666668,35,10,0,0,25,21.77,482.77,567.15,496.0186853865589,577.8371113416501,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-18 13:30:00+00:00,220.19248596056184,227.77247944727023,232.736796398634,227.8246975000002,8.220521314197113,27.579066026010608,-11.902353426919904,-6.428667325678447,-3.5212259753191586,-2.907441350359288,31.65839693721748,8.290436663329379,26.63801467604496,47.99051887703788,213.3375,35,3,0,0,32,20.51,474.54,561.02,494.0660776241445,576.3082830378638,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-19 13:30:00+00:00,219.25248876844947,226.6561176793366,232.06054948104048,227.9460850000002,8.018162648897318,31.59231748641713,-9.857461071081223,-6.542901335932697,-4.125561047441867,-2.4173402884908306,32.18839292773689,11.10846089093197,25.35955733976829,47.823467376626006,215.99034709643715,0,0,0,-12,14,21.7,480.89,567.13,492.8682523855858,575.4738936707853,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
2025-03-20 13:30:00+00:00,218.2919860147596,225.54646834485143,231.3699387170781,228.0606223750002,7.821858173976082,30.691603048429528,-9.807807965681114,-6.641002325893339,-4.628649303132161,-2.012353022761178,32.84557240981973,10.573874015947904,25.507602155295995,45.77491843914921,214.71995833333335,0,0,0,-12,14,19.9,479.26,565.49,491.6311385323508,574.5662669734412,248.86,227.2,195.2697921576216,191.72864149903933,248.12176868897384,236.0956254502694
