time,macd_line,macd_signal,macd_hist
2025-03-07 14:30:00+00:00,0.1477407987362085,0.9275100691256662,-0.7797692703894578
2025-03-10 13:30:00+00:00,-0.4716330917048594,0.6476814369595612,-1.1193145286644206
2025-03-11 13:30:00+00:00,-1.6588039962759922,0.1863843503124504,-1.8451883465884429
2025-03-12 13:30:00+00:00,-2.852311354600687,-0.421354790670177,-2.43095656393051
2025-03-13 13:30:00+00:00,-4.2113981868538986,-1.1793634699069215,-3.032034716946977
2025-03-14 13:30:00+00:00,-5.280455412273312,-1.9995818583802,-3.2808735538931124
2025-03-17 13:30:00+00:00,-5.973500755125883,-2.7943656377293364,-3.1791351173965468
2025-03-18 13:30:00+00:00,-6.428667325678447,-3.5212259753191586,-2.907441350359288
2025-03-19 13:30:00+00:00,-6.542901335932697,-4.125561047441867,-2.4173402884908306
2025-03-20 13:30:00+00:00,-6.641002325893339,-4.628649303132161,-2.012353022761178
2025-03-21 13:30:00+00:00,-6.599301650496216,-5.022779772604972,-1.5765218778912438
2025-03-24 13:30:00+00:00,-6.055868908797635,-5.229397599843504,-0.8264713089541305
2025-03-25 13:30:00+00:00,-5.423283496825292,-5.268174779239862,-0.1551087175854295
2025-03-26 13:30:00+00:00,-4.829368618535568,-5.180413547099003,0.3510449285634349
2025-03-27 13:30:00+00:00,-4.303827974650062,-5.005096432609215,0.701268457959153
2025-03-28 13:30:00+00:00,-4.037080712635486,-4.81149328861447,0.7744125759789835
2025-03-31 13:30:00+00:00,-3.7835798012264954,-4.605910591136874,0.8223307899103798
2025-04-01 13:30:00+00:00,-3.4503117959775693,-4.374790832105013,0.924479036127444
2025-04-02 13:30:00+00:00,-3.03341735544376,-4.106516136772763,1.0730987813290032
2025-04-03 13:30:00+00:00,-4.146908407954953,-4.114594591009201,-0.0323138169457521
2025-04-04 13:30:00+00:00,-5.928909564105254,-4.477457585628412,-1.4514519784768425
2025-04-07 13:30:00+00:00,-8.096301813919808,-5.201226431286691,-2.895075382633117
2025-04-08 13:30:00+00:00,-9.87693418270419,-6.13636798157019,-3.740566201134
2025-04-09 13:30:00+00:00,-10.668164566421837,-7.04272729854052,-3.625437267881317
2025-04-10 13:30:00+00:00,-10.887997607039123,-7.811781360240241,-3.076216246798884
2025-04-11 13:30:00+00:00,-10.685166825676164,-8.386458453327425,-2.298708372348738
2025-04-14 13:30:00+00:00,-9.243560466196044,-8.557878855901148,-0.6856816102948962
2025-04-15 13:30:00+00:00,-8.422716333085447,-8.530846351338008,0.1081300182525613
2025-04-16 13:30:00+00:00,-8.114488407336864,-8.44757476253778,0.3330863552009155
2025-04-17 13:30:00+00:00,-7.745955264287829,-8.30725086288779,0.5612955985999601
2025-04-21 13:30:00+00:00,-7.715900177690571,-8.188980725848346,0.4730805481577746
2025-04-22 13:30:00+00:00,-7.138078669072314,-7.97880031449314,0.8407216454208255
2025-04-23 13:30:00+00:00,-6.046038129054324,-7.592247877405376,1.5462097483510524
2025-04-24 13:30:00+00:00,-5.049138980845896,-7.083626098093481,2.0344871172475845
2025-04-25 13:30:00+00:00,-4.079624674063268,-6.482825813287438,2.40320113922417
2025-04-28 13:30:00+00:00,-3.123869879016325,-5.811034626433216,2.6871647474168903
2025-04-29 13:30:00+00:00,-2.31127999823579,-5.11108370079373,2.7998037025579405
2025-04-30 13:30:00+00:00,-1.6176337383850807,-4.412393708312001,2.79475996992692
2025-05-01 13:30:00+00:00,-0.9797711845033632,-3.7258692035502734,2.74609801904691
2025-05-02 13:30:00+00:00,-0.9728159507270392,-3.1752585529856265,2.2024426022585875
2025-05-05 13:30:00+00:00,-1.2811522667059592,-2.796437295729693,1.515285029023734
2025-05-06 13:30:00+00:00,-1.705761605245499,-2.578302157632854,0.8725405523873553
2025-05-07 13:30:00+00:00,-2.144236025978813,-2.491488931302046,0.3472529053232329
2025-05-08 13:30:00+00:00,-2.426846628821409,-2.4785604708059186,0.05171384198451
2025-05-09 13:30:00+00:00,-2.507625629580474,-2.4843735025608296,-0.0232521270196444
2025-05-12 13:30:00+00:00,-1.661394070293909,-2.3197776161074453,0.6583835458135363
2025-05-13 13:30:00+00:00,-0.8601577310204789,-2.027853639090052,1.167695908069573
2025-05-14 13:30:00+00:00,-0.1524046705524426,-1.65276384538253,1.5003591748300873
2025-05-15 13:30:00+00:00,0.3164870967151216,-1.2589136569629995,1.5754007536781214
2025-05-16 13:30:00+00:00,0.7013853520191731,-0.8668538551665652,1.5682392071857385
2025-05-19 13:30:00+00:00,0.6852357189722795,-0.5564359403387962,1.2416716593110757
2025-05-20 13:30:00+00:00,0.6169106706423975,-0.3217666181425574,0.9386772887849548
2025-05-21 13:30:00+00:00,0.2966912091800395,-0.198075052678038,0.4947662618580776
2025-05-22 13:30:00+00:00,-0.1667763598765645,-0.1918153141177433,0.0250389542411787
2025-05-23 13:30:00+00:00,-1.0150996534693206,-0.3564721819880588,-0.6586274714812618
2025-05-27 13:30:00+00:00,-1.337417337583645,-0.5526612131071761,-0.7847561244764688
2025-05-28 13:30:00+00:00,-1.4359007956494736,-0.7293091296156355,-0.706591666033838
2025-05-29 13:30:00+00:00,-1.452722299311887,-0.8739917635548858,-0.5787305357570011
2025-05-30 13:30:00+00:00,-1.5866539925025336,-1.0165242093444151,-0.5701297831581182
2025-06-02 13:30:00+00:00,-1.5684049886775142,-1.1269003652110352,-0.441504623466479
2025-06-03 13:30:00+00:00,-1.4342252279749914,-1.1883653377638264,-0.245859890211165
2025-06-04 13:30:00+00:00,-1.2185234185587603,-1.1943969539228132,-0.0241264646359471
2025-06-05 13:30:00+00:00,-1.136152788177867,-1.182748120773824,0.0465953325959569
2025-06-06 13:30:00+00:00,-0.946191151404463,-1.1354367268999517,0.1892455754954887
2025-06-09 13:30:00+00:00,-0.8426178900987509,-1.0768729595397115,0.2342550694409606
2025-06-10 13:30:00+00:00,-0.8250591481629499,-1.026510197264359,0.2014510491014092
2025-06-11 13:30:00+00:00,-0.861728975442162,-0.9935539528999195,0.1318249774577576
2025-06-12 13:30:00+00:00,-1.0774742364108647,-1.0103380096021086,-0.067136226808756
2025-06-13 13:30:00+00:00,-1.2954535806295269,-1.0673611238075922,-0.2280924568219346
2025-06-16 13:30:00+00:00,-1.4770271001099218,-1.149294319068058,-0.3277327810418637
2025-06-17 13:30:00+00:00,-1.6927672979921624,-1.257988914852879,-0.4347783831392835
2025-06-18 13:30:00+00:00,-1.868030788663532,-1.3799972896150094,-0.4880334990485224
2025-06-20 13:30:00+00:00,-1.73217704729592,-1.4504332411511915,-0.2817438061447286
2025-06-23 13:30:00+00:00,-1.4744748049447196,-1.455241553909897,-0.0192332510348225
2025-06-24 13:30:00+00:00,-1.2129904292570757,-1.4067913289793328,0.1938008997222571
2025-06-25 13:30:00+00:00,-0.978942380735333,-1.3212215393305329,0.3422791585951998
2025-06-26 13:30:00+00:00,-0.8396595235660413,-1.2249091361776343,0.3852496126115932
2025-06-27 13:30:00+00:00,-0.6878605953158399,-1.1174994280052757,0.4296388326894358
2025-06-30 13:30:00+00:00,-0.408712311412529,-0.9757420046867264,0.5670296932741973
2025-07-01 13:30:00+00:00,0.1533017265335274,-0.7499332584426756,0.903234984976203
2025-07-02 13:30:00+00:00,0.8315622778982856,-0.4336341511744833,1.2651964290727689
2025-07-03 13:30:00+00:00,1.539457156854752,-0.0390158895686362,1.578473046423388
2025-07-07 13:30:00+00:00,1.9868861115145933,0.3661645106480097,1.6207216008665837
2025-07-08 13:30:00+00:00,2.161830322584109,0.7252976730352296,1.4365326495488793
2025-07-09 13:30:00+00:00,2.258902507067802,1.032018639841744,1.2268838672260578
2025-07-10 13:30:00+00:00,2.4529031928363167,1.3161955504406586,1.136707642395658
2025-07-11 13:30:00+00:00,2.5228991353291974,1.5575362674183664,0.965362867910831
2025-07-14 13:30:00+00:00,2.414971179899624,1.729023249914618,0.6859479299850058
2025-07-15 13:30:00+00:00,2.3456689791511,1.852352395761914,0.4933165833891855
2025-07-16 13:30:00+00:00,2.311606924671196,1.9442033015437703,0.3674036231274253
2025-07-17 13:30:00+00:00,2.2682493956664587,2.009012520368308,0.2592368752981504
2025-07-18 13:30:00+00:00,2.2396316803987304,2.055136352374393,0.1844953280243375
2025-07-21 13:30:00+00:00,2.3601163002841474,2.116132341956344,0.2439839583278038
2025-07-22 13:30:00+00:00,2.482063608738173,2.189318595312709,0.2927450134254634
2025-07-23 13:30:00+00:00,2.589005361985727,2.269255948647313,0.319749413338414
2025-07-24 13:30:00+00:00,2.646677614678424,2.344740281853535,0.3019373328248891
2025-07-25 13:30:00+00:00,2.6684814865638486,2.4094885227955976,0.2589929637682511
2025-07-28 13:30:00+00:00,2.630524617111518,2.4536957416587817,0.1768288754527369
2025-07-29 13:30:00+00:00,2.4728886126447662,2.4575343158559786,0.0153542967887876
2025-07-30 13:30:00+00:00,2.121374493901357,2.390302351465054,-0.2689278575636975
2025-07-31 13:30:00+00:00,1.6623520419639135,2.244712289564826,-0.5823602476009127
2025-08-01 13:30:00+00:00,1.1893446845546407,2.033638768562789,-0.8442940840081485
2025-08-04 13:30:00+00:00,0.5875230263615663,1.7444156201225447,-1.1568925937609784
2025-08-05 13:30:00+00:00,0.0377194704967962,1.403076390197395,-1.3653569197005988
2025-08-06 13:30:00+00:00,0.1256486564090266,1.1475908434397213,-1.0219421870306946
2025-08-07 13:30:00+00:00,0.9207282333327385,1.1022183214183248,-0.1814900880855863
2025-08-08 13:30:00+00:00,2.01368826387602,1.284512309909864,0.729175953966156
2025-08-11 13:30:00+00:00,3.026335714998254,1.6328769909275418,1.393458724070712
2025-08-12 13:30:00+00:00,3.906984450606842,2.0876984828634018,1.8192859677434403
2025-08-13 13:30:00+00:00,4.837712269666497,2.637701240224021,2.200011029442476
2025-08-14 13:30:00+00:00,5.571114837081694,3.2243839595955555,2.346730877486139
2025-08-15 13:30:00+00:00,6.010434628223749,3.781594093321194,2.228840534902554
