time,bb_upper,bb_lower,bb_mid,sma_50,sma_100,sma_200,ema_21,rsi_14,atr_14,macd_line,macd_signal,macd_hist,adx_val,stoch_k,stoch_d,cci,mom_val,psar,gap_pct,swing_mom_rr,vix_size_mult,vix_stop_mult,daily_dd_pct,weekly_dd_pct,vix_pine
2025-03-07 14:30:00+00:00,250.29829423070328,228.06302076929683,239.18065750000005,,,226.8778740000002,238.442689076044,48.79360359745012,6.969315323365048,0.1477407987362085,0.9275100691256662,-0.7797692703894578,20.447526447021115,31.001484512919347,32.64552416480965,-22.819343847726877,-8.776250000000005,247.29852243456003,0.2474725848011478,2,0.7,1.15,0,0.0002916915386137,24.87
2025-03-10 13:30:00+00:00,250.2482098576954,228.1608551423047,239.20453250000008,,,227.0805053750002,237.75244461458547,39.94926224198653,7.425524943124688,-0.4716330917048594,0.6476814369595612,-1.1193145286644206,21.337146540766245,31.54160281079153,30.586566790944925,-119.37299807076153,-15.476250000000022,246.5757815371776,-0.3784953117713631,2,0.7,1.15,0,0.0,23.37
2025-03-11 13:30:00+00:00,251.4741630242715,226.2581494757286,238.86615625000005,,,227.2315613750002,236.3189246496232,31.773615558085496,8.060381555468203,-1.6588039962759922,0.1863843503124504,-1.8451883465884429,22.83967858896604,26.61008834013409,29.717725221281643,-224.57848233896192,-25.50377499999996,245.23443464494696,1.2620825280198849,2,0.5,1.3,0,0.0,27.86
2025-03-12 13:30:00+00:00,253.3538565486578,223.1184559513424,238.23615625000008,,,227.36596375000025,234.69402240874837,29.20466426833451,8.410612962789543,-2.852311354600687,-0.421354790670177,-2.43095656393051,24.45696399149338,16.573400119427863,24.908363756784485,-231.28923763336203,-23.755000000000024,243.0116798733512,2.65330093815073,2,0.5,1.3,0,-0.0905382269383249,26.92
2025-03-13 13:30:00+00:00,255.8982446658101,218.45355283419,237.17589875000004,,,227.4852192500002,232.69659764431668,25.600004139477136,8.86266279608911,-4.2113981868538986,-1.1793634699069215,-3.032034716946977,26.46211183553873,11.449917301543724,18.21113525370188,-233.88263207150345,-26.33515,240.20151188601608,2.158122469721655,2,0.7,1.15,0,-0.1464051072248251,24.23
2025-03-14 13:30:00+00:00,257.47163090577885,214.1781690942212,235.8249,,,227.5987812500002,230.821225131197,25.216451124957278,8.826817618832154,-5.280455412273312,-1.9995818583802,-3.2808735538931124,28.324034833580843,9.731167851073817,12.58482842401512,-185.73176139847263,-25.70250000000001,236.38773045969413,2.453188541068547,2,0.7,1.15,0,-0.1527425369257516,24.66
2025-03-17 13:30:00+00:00,257.8225811180826,210.82996888191747,234.32627500000004,,,227.70990625000024,229.21247739199728,27.115532513073703,8.57133064605843,-5.973500755125883,-2.7943656377293364,-3.1791351173965468,30.052963331762804,10.474644150044554,10.551909767554015,-145.9308477366854,-26.86479999999997,233.03160280453085,1.384778505544635,2,0.7,1.15,0,0.0,21.77
2025-03-18 13:30:00+00:00,257.5419462009711,208.05685379902891,232.7994,,,227.8246975000002,227.77247944727023,27.579066026010608,8.220521314197113,-6.428667325678447,-3.5212259753191586,-2.907441350359288,31.65839693721749,11.61009416728009,10.605302056132803,-121.00625939818758,-23.723749999999995,230.07821046798716,0.440859860937453,2,0.7,1.15,0,0.002336646480034,20.51
2025-03-19 13:30:00+00:00,256.5469488471549,206.1335911528451,231.34027,,,227.9460850000002,226.6561176793366,31.59231748641713,8.018162648897318,-6.542901335932697,-4.125561047441867,-2.4173402884908306,32.188392927736906,15.306864039055776,12.463867452126792,-93.77635195968595,-18.742500000000007,227.47922521182863,0.1621770796665325,2,0.7,1.15,0,0.0229770237203434,21.7
2025-03-20 13:30:00+00:00,255.1460993201233,204.4334381798768,229.78976875000004,,,228.0606223750002,225.54646834485143,30.691603048429528,7.821858173976082,-6.641002325893339,-4.628649303132161,-2.012353022761178,32.84557240981974,16.850258353995855,14.589072186777225,-87.66127405431428,-20.74579999999997,225.19211818640923,-0.4116056732110241,2,0.7,1.15,0,0.0128515556401959,19.9
2025-03-21 13:30:00+00:00,253.1626992847877,203.28033821521237,228.22151875000003,,,228.1675098750002,224.58656213168317,31.771710581784973,7.8031540186920765,-6.599301650496216,-5.022779772604972,-1.5765218778912438,33.097366471000115,18.909659210796807,17.022260534616127,-75.18413463048394,-22.588750000000037,223.1794640040401,0.0362661839097247,2,0.7,1.15,0,0.018109010220268,19.8
2025-03-24 13:30:00+00:00,250.6319311510485,203.2232313489516,226.9275812500001,,,228.2980733750002,224.2102837560756,41.70887032384368,7.725955595130933,-6.055868908797635,-5.229397599843504,-0.8264713089541305,32.653773887804896,24.45623264028048,20.072050068357694,-38.509244424150346,-10.402499999999977,208.42,-0.1069253276753534,2,0.7,1.15,0,0.0,19.28
2025-03-25 13:30:00+00:00,247.46710086257,203.85681163743013,225.6619562500001,,,228.43014837500016,224.0252579600687,44.46484893358281,7.638204341508583,-5.423283496825292,-5.268174779239862,-0.1551087175854295,31.614835871674725,32.72635306019223,25.36408163708982,-22.56645476980326,0.1912749999999903,208.6812,-1.290528604052238,2,1.0,1.0,0,0.0168553391257519,17.48
2025-03-26 13:30:00+00:00,245.1474421719132,204.2197203280869,224.68358125000003,,,228.56726712500017,223.89864360006248,45.203742682912925,7.4591339615586145,-4.829368618535568,-5.180413547099003,0.3510449285634349,30.435023591587967,40.46029337379871,32.547626358090454,-14.500101668126344,4.1875,209.297952,-1.0290172261546189,2,1.0,1.0,0,0.0212396758925741,17.15
