time,open,high,low,close,volume
2026-05-14 14:40:00+00:00,297.9721986307914,298.45,297.73,298.14750000000004,59012
2026-05-14 14:45:00+00:00,298.0598493153957,298.87,298.0598493153957,298.48749999999995,48428
2026-05-14 14:50:00+00:00,298.2736746576978,298.72,298.2736746576978,298.53000000000003,46013
2026-05-14 14:55:00+00:00,298.40183732884896,298.75,298.40183732884896,298.62625,39547
2026-05-14 15:00:00+00:00,298.5140436644245,298.73,297.77,298.39750000000004,63021
2026-05-14 15:05:00+00:00,298.45577183221224,299.1,298.34,298.655,52144
2026-05-14 15:10:00+00:00,298.5553859161061,299.18,298.5553859161061,298.9425,36422
2026-05-14 15:15:00+00:00,298.748942958053,299.46,298.748942958053,299.145,43254
2026-05-14 15:20:00+00:00,298.9469714790265,299.28,298.9469714790265,299.1424999999999,34992
2026-05-14 15:25:00+00:00,299.0447357395132,299.47,299.0447357395132,299.1825,27244
2026-05-14 15:30:00+00:00,299.1136178697566,299.35,299.0,299.115,27188
2026-05-14 15:35:00+00:00,299.1143089348783,299.1143089348783,298.76,298.9925,29250
2026-05-14 15:40:00+00:00,299.0534044674391,299.36,299.0,299.14,31237
2026-05-14 15:45:00+00:00,299.09670223371955,299.33,299.09670223371955,299.175,23200
2026-05-14 15:50:00+00:00,299.1358511168598,299.1358511168598,298.76,298.94375,31797
2026-05-14 15:55:00+00:00,299.0398005584299,299.15,298.77,298.9625,25474
2026-05-14 16:00:00+00:00,299.0011502792149,299.19,298.775,299.02125,24169
2026-05-14 16:05:00+00:00,299.01120013960747,299.07,298.885,298.95125,16198
2026-05-14 16:10:00+00:00,298.9812250698037,298.9812250698037,298.6,298.765,28724
2026-05-14 16:15:00+00:00,298.87311253490185,299.02,298.67,298.78000000000003,21217
2026-05-14 16:20:00+00:00,298.82655626745094,298.84,298.55,298.68499999999995,28534
2026-05-14 16:25:00+00:00,298.75577813372547,298.76,298.28,298.4925,32331
2026-05-14 16:30:00+00:00,298.6241390668628,298.6241390668628,298.24,298.335,27223
2026-05-14 16:35:00+00:00,298.47956953343135,298.47956953343135,298.0,298.1675,33398
2026-05-14 16:40:00+00:00,298.3235347667157,298.36,298.02,298.155,18269
2026-05-14 16:45:00+00:00,298.23926738335786,298.23926738335786,296.0,297.175,140764
2026-05-14 16:50:00+00:00,297.7071336916789,297.77,295.39,296.84000000000003,72731
2026-05-14 16:55:00+00:00,297.27356684583947,297.87,297.27356684583947,297.66,28467
2026-05-14 17:00:00+00:00,297.4667834229197,297.97,297.45,297.67999999999995,26287
2026-05-14 17:05:00+00:00,297.57339171145986,297.86,297.48,297.6275,18802
2026-05-14 17:10:00+00:00,297.60044585573,298.0,297.48,297.66,23647
2026-05-14 17:15:00+00:00,297.63022292786496,297.87,297.37,297.6225,18879
2026-05-14 17:20:00+00:00,297.6263614639325,297.95,297.51,297.74749999999995,17028
2026-05-14 17:25:00+00:00,297.6869307319662,298.4,297.6869307319662,298.13125,24088
2026-05-14 17:30:00+00:00,297.90909036598305,298.64,297.90909036598305,298.465,20439
2026-05-14 17:35:00+00:00,298.1870451829915,298.52,297.95,298.2825,19080
2026-05-14 17:40:00+00:00,298.23477259149576,298.25,298.02,298.16125,17080
2026-05-14 17:45:00+00:00,298.19801129574785,298.38,298.1,298.2225,14729
2026-05-14 17:50:00+00:00,298.2102556478739,298.29,298.14,298.2075,14713
2026-05-14 17:55:00+00:00,298.208877823937,298.505,298.11,298.25625,14356
2026-05-14 18:00:00+00:00,298.2325639119685,298.2325639119685,297.55,297.90250000000003,22844
2026-05-14 18:05:00+00:00,298.06753195598424,298.15,297.73,297.9325,15798
2026-05-14 18:10:00+00:00,298.0000159779921,298.35,298.0000159779921,298.225,16511
2026-05-14 18:15:00+00:00,298.1125079889961,298.5,298.1125079889961,298.385,19416
2026-05-14 18:20:00+00:00,298.24875399449803,298.48,298.24875399449803,298.4125,18988
2026-05-14 18:25:00+00:00,298.33062699724906,298.46,298.275,298.37625,19350
2026-05-14 18:30:00+00:00,298.35343849862454,298.55,298.34,298.42,19676
2026-05-14 18:35:00+00:00,298.38671924931225,298.45,298.23,298.34000000000003,14447
